MFE,FETE,FMSE,ED
0,-0.06,0.907162,0.29
-3,-3.6,0.376071,1.99
0,-0.38,0.541338,1.81
-2.1,-2.2,0.844014,1.15
-4.2,-4.82,0.364027,5.88
-3.7,-3.73,0.945509,0.29
-0.9,-1.84,0.21611,5.16
-0.2,-0.72,0.428338,2.07
-0.3,-0.91,0.373834,2.39
-0.1,-0.82,0.313015,2.4
-2.3,-2.4,0.847008,0.47
-0.7,-1.12,0.501976,1.85
-2.4,-2.92,0.428096,1.52
-0.2,-0.84,0.354659,5.11
0,-0.94,0.216273,3.15
0,-0.08,0.877211,0.46
0,-0.09,0.863071,0.5
0,-0.5,0.442763,1.37
-1.9,-2.04,0.800514,0.98
-1,-1.34,0.576541,2.71
-0.3,-1.21,0.226632,4.09
-5.5,-6.21,0.315812,6.6
-0.9,-1.47,0.396782,3.69
0,-0.11,0.839448,0.47
0,-0.23,0.690819,1.33
0,-0.01,0.98176,0.05
-0.6,-1.27,0.334533,3.64
-2.8,-3.34,0.4184,5.34
-7,-7.11,0.841369,0.32
-6.4,-6.63,0.692524,1.08
-2,-2.32,0.590857,1.57
-1.3,-1.65,0.56678,2.04
-2.5,-2.68,0.745415,1.65
-0.7,-1.1,0.520544,3.46
0,-0.16,0.766855,1.21
-2.3,-2.61,0.600364,3.12
0,-0.41,0.510192,2.38
-0.6,-1.7,0.168368,3.81
0,-0.14,0.790666,0.86
0,-0.56,0.40542,2.47
0,-0.69,0.32639,2.7
0,-0.56,0.403305,2.2
-3.4,-4.22,0.262943,4.31
-2.3,-2.41,0.83895,0.65
-0.8,-1.24,0.490971,2.57
0,-0.43,0.498184,1.45
0,-0.62,0.368154,2.94
-2.1,-2.67,0.397103,4.56
0,-0.85,0.251255,3.49
-2.6,-2.68,0.881646,0.41
-1.6,-1.78,0.745353,1.68
-4.4,-4.82,0.505501,4.73
-0.8,-1.38,0.389102,3.53
0,-0.32,0.595608,2.12
-0.2,-0.58,0.538164,1.15
-0.1,-0.68,0.391678,2.31
-1.6,-2.16,0.401765,2.54
0,-0.02,0.97006,0.07
0,-0.03,0.947641,0.17
-2.8,-3.23,0.50063,3.11
-0.8,-1.72,0.226032,5.04
-2,-2.44,0.493579,1.47
0,-0.05,0.920566,0.22
-3.4,-3.49,0.861243,0.37
-1.9,-2.18,0.638527,0.86
-1.9,-2.35,0.478857,4.28
-1.5,-2.03,0.425197,2.92
-7.9,-8.41,0.438934,1.97
0,-0.23,0.685204,1.06
-0.1,-0.71,0.369067,3.2
-3.3,-3.91,0.372081,5.41
-4.7,-4.89,0.734578,0.44
-7.2,-7.22,0.972689,0.08
-4.2,-4.28,0.882783,0.34
0,-0.1,0.849306,0.49
-2.1,-2.22,0.817161,0.56
-2.5,-3.23,0.307636,5
-0.7,-1.43,0.305042,2.92
0,-0.02,0.972901,0.08
-3,-3.08,0.881372,1.09
-0.5,-1.32,0.262388,3.51
0,-0.51,0.436822,2.55
-0.2,-0.61,0.511299,1.5
0,-0.36,0.553427,2.19
-0.9,-1.16,0.653245,1.48
-1.5,-2.06,0.405557,1.59
0,-0.57,0.396801,2.19
-2.2,-2.51,0.601264,3.24
-0.5,-0.78,0.635955,1.22
-0.9,-1.28,0.536001,2.14
-1.6,-1.87,0.647201,2.46
-4.2,-4.47,0.650122,3.08
-1.8,-2.68,0.238315,4.7
-3.4,-3.46,0.908542,0.46
-3.6,-4.27,0.337276,5.54
-5,-5.27,0.645093,2.18
-0.7,-1.82,0.161696,5.93
0,-0.48,0.459621,2.99
-1.1,-1.97,0.243826,4.58
-4.5,-5.34,0.257151,5.67
-3.1,-3.72,0.364259,4.46
-1,-1.39,0.535103,2.7
-1,-1.37,0.544916,2.93
-1.4,-1.63,0.684289,1.31
-0.6,-1.25,0.3473,5.08
-0.5,-0.85,0.56501,1.7
-1,-1.25,0.662937,2.12
0,-0.14,0.791257,0.93
-1.7,-2.47,0.287685,4.25
-1.6,-2.16,0.400457,3.29
-2.4,-2.45,0.919003,0.35
-5.5,-5.66,0.771318,0.68
-3,-3.49,0.454262,5.26
-2.4,-2.79,0.533983,4.45
-1.6,-2.31,0.314488,4.76
-1.8,-2.06,0.658393,1.05
0,-0.83,0.258119,3.33
-2.6,-3.57,0.207614,5.96
-5.2,-5.48,0.637655,1.34
-0.4,-1.16,0.290124,3.42
-3.2,-3.25,0.92889,0.54
-2.6,-2.82,0.705261,0.65
0,-0.04,0.933792,0.33
-1.1,-1.48,0.54079,2.58
-1,-1.86,0.247986,4.69
-5.7,-6.5,0.272326,2.23
0,-0.05,0.924634,0.38
-1.1,-1.51,0.511437,2.23
-1.7,-2.14,0.492904,3.18
0,-0.15,0.784671,0.77
0,-0.57,0.39852,2.03
-0.6,-1.32,0.308582,3.71
-1.9,-2.46,0.402466,1.56
-1,-1.46,0.472221,2.62
-4.3,-4.92,0.362996,2.47
-2.4,-2.81,0.51487,4.71
-1.1,-1.64,0.417088,3.98
-2.2,-2.49,0.621012,3.19
-1,-1.29,0.621841,1.98
-7,-7.47,0.46714,1.35
-3.7,-3.84,0.80232,0.36
-1.9,-2.23,0.586747,3.17
0,-0.49,0.449283,2.06
-2.2,-2.37,0.7643,1.02
-1.5,-2.08,0.387095,1.55
-2.5,-2.58,0.871791,0.67
-0.4,-0.84,0.48777,1.74
0,-0.07,0.892827,0.35
0,-0.09,0.864047,0.48
-0.6,-0.99,0.532602,2.07
-2.2,-2.33,0.811553,1.84
0,-0.03,0.958561,0.13
-1.8,-2.33,0.422659,1.37
-1.2,-1.7,0.442395,4.11
0,-0.54,0.419321,2.94
0,-0.26,0.66086,1.8
-0.3,-1.09,0.278773,4.1
-0.6,-1.14,0.4174,3.39
0,-1.21,0.141515,4.57
-1.5,-1.57,0.893419,0.58
-0.2,-0.63,0.496318,1.42
-1.2,-1.35,0.784331,1.36
-4.8,-4.86,0.900223,0.22
0,-0.79,0.275486,2.82
-1.2,-2.11,0.229138,4.65
-1.2,-1.97,0.286066,4.81
-1,-1.29,0.626671,2.27
-6.5,-6.91,0.515214,2.66
-3.2,-3.8,0.378403,4.4
-2.4,-2.71,0.608212,4.66
-4.9,-5.38,0.461777,3.29
-3.6,-3.88,0.630754,2.61
-7.2,-7.3,0.854238,1.86
0,-0.3,0.61822,1.51
-1.9,-2.13,0.685848,0.87
-2.4,-2.88,0.459079,2.21
0,-1.01,0.192691,3.23
-0.2,-0.76,0.403542,2.82
0,-0.49,0.453692,1.91
-6.4,-6.71,0.60359,4.92
-4.2,-4.41,0.708771,1.48
0,-0.92,0.223174,4.04
-2.8,-3.32,0.429789,4.28
-7.5,-7.51,0.978915,0.05
0,-0.32,0.596816,1.56
0,-0.35,0.567956,1.9
-7,-7.82,0.265507,3.71
-2.6,-3.03,0.494966,3.39
-2.2,-2.29,0.862936,0.95
-6.5,-6.95,0.480811,1.97
-5.2,-5.41,0.711851,0.47
-3.3,-4.31,0.193986,6.63
-4.5,-4.77,0.648295,4.11
-0.5,-1.22,0.311285,3.42
0,-0.6,0.374996,2.77
0,-0.47,0.46273,2.75
0,-0.17,0.763412,1
-3.9,-3.97,0.895577,0.59
0,-0.65,0.348627,3
-4.4,-4.83,0.496704,3.01
0,-0.06,0.900016,0.36
-0.4,-1.5,0.168502,3.95
-3.7,-4.08,0.536997,1.07
-0.3,-1.44,0.15772,4.98
-1.9,-2.1,0.725867,1.24
-2,-2.48,0.462457,0.95
-2.6,-2.98,0.543777,0.9
0,-0.19,0.735244,1.6
-1.7,-1.86,0.765655,1.07
-1,-1.7,0.321251,3.58
0,-0.3,0.61389,1.07
-1,-1.14,0.798634,0.75
0,-0.38,0.538727,1.88
0,-0.39,0.531155,2.06
-1.8,-2.29,0.453413,3.73
0,-0.09,0.857829,0.47
0,-0.15,0.787131,0.94
0,-0.07,0.897627,0.36
0,-0.02,0.972255,0.09
-1.8,-2.35,0.40872,1.6
-0.2,-0.75,0.407503,2.27
-1.8,-2.57,0.285162,3.65
-2.3,-2.85,0.411697,4.14
-2,-2.31,0.606587,1.04
-0.3,-0.89,0.382083,2.2
0,-0.03,0.958947,0.22
-4.8,-4.9,0.851118,0.5
-2.2,-2.58,0.53817,1.1
-1.3,-1.45,0.78577,0.93
0,-0.32,0.594975,1.44
-1.9,-1.97,0.895164,0.84
-5.1,-5.85,0.297532,2.81
-0.9,-1.75,0.251725,3.81
-9.5,-9.58,0.880827,0.24
-2.1,-2.3,0.727904,1.85
-0.8,-1.34,0.414402,3.11
-1,-1.62,0.362868,4.03
-3.8,-4.08,0.633214,3.19
-2.6,-3.69,0.17195,4.87
0,0,0.996416,0.01
0,-0.05,0.926879,0.29
-1.1,-2.15,0.180801,4.08
-0.7,-1.03,0.585585,1.99
0,-0.29,0.628779,1.76
0,-0.44,0.487538,2.17
-4.8,-4.99,0.738364,0.48
0,-0.4,0.521972,1.84
-2.4,-2.78,0.543339,3.61
-0.6,-1.38,0.282453,4.57
-4.7,-5.04,0.580038,4.45
-3.3,-4.06,0.290361,5.6
0,-0.29,0.626207,1.83
-0.9,-1.61,0.316819,3.26
-1.4,-2.55,0.153625,5.58
-3.1,-3.4,0.610159,1.81
-0.1,-0.98,0.240684,3.04
-1.7,-1.95,0.669501,0.93
0,-0.04,0.942045,0.18
0,-0.13,0.804122,0.65
-1.2,-1.3,0.847217,0.53
-5.8,-5.87,0.892537,0.23
-5.7,-6.15,0.482859,0.6
-2.3,-2.48,0.748128,0.76
-4,-4.43,0.499961,1.1
0,-0.19,0.732501,1.75
0,-0.9,0.232916,4.44
-5.6,-5.92,0.590341,0.56
0,-0.07,0.887107,0.4
-0.2,-0.88,0.329678,3.53
-0.5,-0.75,0.664152,1.38
-0.7,-0.98,0.629914,1.68
0,-0.14,0.802643,1
-2.5,-2.69,0.740691,0.79
-3.3,-3.99,0.32445,4.74
0,-0.27,0.648818,1.48
-1.2,-1.78,0.388401,2.7
-0.6,-1.17,0.398616,2.88
0,-0.05,0.921605,0.22
-1.4,-1.72,0.599253,1.46
-3.7,-3.73,0.953218,0.19
0,-0.04,0.934036,0.19
-1.1,-2.13,0.187926,4.58
0,-0.81,0.267592,4.1
-0.5,-1.3,0.274546,3.43
-0.8,-1.61,0.268991,3.72
-4.1,-4.55,0.4854,1.97
-2.5,-3.03,0.425713,3.21
-3.2,-3.94,0.301238,5.49
-5.8,-6.79,0.200458,2.85
0,-0.02,0.97406,0.08
-2.5,-2.74,0.678695,1.26
-1.7,-2.53,0.258302,4.14
-2.2,-2.47,0.640353,1.21
-2.2,-2.46,0.661036,2.42
-5.1,-5.33,0.683691,1.93
-0.7,-0.93,0.688975,1.22
-1.2,-2.18,0.204761,5.14
-1.2,-2.04,0.255319,3.53
-0.6,-1.02,0.507292,1.97
0,-0.68,0.334385,2.92
-1.5,-2.02,0.428381,2.58
-1.3,-1.74,0.485948,3.04
-5,-5.56,0.406187,1.52
0,-0.44,0.487709,2.25
-1.8,-2.19,0.532257,3.05
-1,-2.21,0.140941,4.66
-3.9,-4.01,0.82998,1.27
-4.1,-4.73,0.359865,2.51
-2.6,-2.88,0.630682,2.29
-8.2,-8.21,0.978132,0.07
-5.5,-5.59,0.869078,1.7
-1.6,-2.38,0.281126,3.73
-2.3,-2.79,0.448827,1.16
-2.5,-2.76,0.655693,3.26
-1.7,-1.87,0.761431,0.82
0,-0.06,0.910213,0.48
0,-0.18,0.74688,0.89
-0.8,-1.34,0.417976,2.81
-1.4,-1.97,0.399481,2.38
0,-0.64,0.355809,2.71
0,-0.04,0.943464,0.22
0,-0.53,0.42385,2.79
-3.7,-4.04,0.579343,4.18
-0.8,-1.41,0.369699,3.78
-5.7,-6.62,0.224558,1.86
-0.1,-1.07,0.205773,3.33
-2.2,-2.7,0.446654,3.97
-4.5,-4.62,0.818268,0.44
0,-0.54,0.418887,2.65
-1.8,-2.25,0.479921,3.9
0,-0.32,0.598633,2.41
-1.6,-1.99,0.530016,2.98
0,-0.19,0.733918,1.14
-0.4,-1.03,0.357385,3.49
-3.1,-3.4,0.616314,2.68
0,-0.15,0.779043,1
0,-0.65,0.345607,2.58
-1.4,-1.79,0.531946,3.43
0,-0.1,0.852136,0.81
-1.7,-1.87,0.759062,1.15
0,-0.01,0.987797,0.02
-4.9,-5.71,0.269951,4.97
0,-0.37,0.547437,1.96
0,-0.4,0.518536,2.12
-0.9,-1.45,0.408756,2.16
-1.1,-1.33,0.693275,1.54
-3.4,-3.59,0.734701,0.67
-5.9,-6.05,0.787175,0.38
0,-0.58,0.392704,2.24
-2.8,-2.93,0.812213,1.32
-0.5,-1.25,0.296776,4.18
-2.4,-2.51,0.841242,0.74
0,-0.29,0.627789,1.73
-1.6,-1.8,0.726452,0.94
-0.9,-1.54,0.354679,2.16
-3.7,-4.19,0.455139,4.02
-4.6,-4.93,0.589353,0.81
-1.3,-2.05,0.29844,4.67
-5.1,-5.12,0.973786,0.15
-0.4,-1.62,0.137489,4.4
-0.1,-0.62,0.429931,2.38
0,-0.38,0.541962,2.74
0,-0.23,0.688869,1.16
-1.8,-2.21,0.517449,3.8
-3.4,-3.64,0.681762,1.96
0,-0.03,0.958777,0.15
0,-0.16,0.775889,1
0,-0.13,0.806593,0.71
-1.9,-2.1,0.727259,0.93
-1.7,-2.39,0.326587,4.87
0,-0.41,0.513201,2.16
0,-0.05,0.917751,0.32
-3.7,-4.12,0.506608,1.38
-0.4,-0.91,0.437366,2.62
0,-0.02,0.96615,0.1
-2.5,-2.68,0.747681,1.67
-2,-2.26,0.658235,2.78
-0.3,-1.15,0.250883,3.23
-4.6,-4.74,0.800341,0.6
-1.1,-1.5,0.523474,3.83
-0.2,-0.72,0.429672,1.82
-4.5,-4.62,0.826912,1.56
-3.3,-3.99,0.327806,1.84
-0.1,-0.75,0.346627,2.27
-2.8,-3.07,0.642829,2.25
-3.5,-3.53,0.949468,0.34
-6.1,-6.34,0.674125,2.51
-2.1,-2.78,0.334142,1.88
-0.8,-1.24,0.493489,2
0,-0.86,0.249627,3.93
-0.1,-0.56,0.471378,1.65
-2.9,-3.43,0.422632,1.1
-5.3,-5.65,0.571215,0.53
-0.1,-0.88,0.283344,2.4
-2.5,-2.66,0.76926,1.95
-6.4,-6.48,0.876517,1.5
-1.3,-1.66,0.561819,2.87
0,-0.28,0.637696,1.73
-0.4,-0.77,0.550121,1.44
-2,-2.48,0.458902,4.27
-2.2,-2.79,0.381149,3.19
-2.8,-3.24,0.492987,2.44
0,-0.66,0.342568,3.43
-2.1,-2.16,0.905224,0.45
-3.9,-3.92,0.960632,0.16
0,-0.06,0.903796,0.32
-2.7,-2.86,0.77604,0.72
-1.5,-1.78,0.63594,2.17
-0.6,-1.21,0.373959,1.53
0,-0.42,0.504202,2.13
-3.2,-3.48,0.635846,1.17
0,-0.62,0.366191,4.22
0,-0.73,0.30441,3.04
-1.2,-1.36,0.766258,1.31
-2.4,-2.95,0.411767,4.01
-1.4,-2.06,0.340872,4.22
0,-0.48,0.462347,2.31
-3.4,-3.84,0.489088,4.9
-1.6,-2.46,0.249368,4.75
-2.2,-2.95,0.297372,4.84
-1.5,-2,0.443212,2.62
-1.4,-2.49,0.171747,4.87
-5.5,-5.67,0.761025,2.06
-1.3,-1.88,0.388673,4
-2.7,-2.97,0.642446,3.03
-5.9,-6.11,0.708862,0.96
-6.3,-6.31,0.976177,0.13
-0.8,-1.29,0.451507,2.54
-2.7,-3.31,0.372095,5.64
-4.9,-5.37,0.465973,1.03
-0.9,-1.58,0.331038,2.78
-0.5,-0.77,0.649141,1.13
-0.4,-1.05,0.347823,2.93
0,-0.02,0.966303,0.1
-0.2,-0.83,0.357918,2.21
0,-0.39,0.528219,1.86
0,-0.56,0.400121,3.03
-0.1,-1.04,0.218261,5.38
0,-0.14,0.794344,0.81
-0.9,-1.53,0.360677,2.08
-2.4,-3.01,0.372683,5.38
-1.4,-1.75,0.568541,2.55
-0.7,-1.46,0.289993,2.82
-1.1,-1.6,0.44614,2.89
-0.3,-0.95,0.345815,3.03
-0.1,-0.63,0.426567,1.82
-3,-3.37,0.545046,2.1
-2.6,-3.65,0.181607,5.74
-5.3,-5.52,0.703068,1.05
0,-0.81,0.267889,2.54
0,-0.44,0.492912,2.84
-1.2,-2.53,0.116216,6.39
-2.8,-3.06,0.654192,1.73
-2.5,-2.92,0.502599,2.79
0,-0.29,0.619632,1.71
-0.2,-0.79,0.386764,1.99
-1.5,-1.58,0.880834,0.55
-0.2,-0.7,0.444477,2.22
-1.6,-1.84,0.675922,1.71
-3.6,-3.63,0.952964,0.13
0,-0.1,0.85349,0.5
-0.8,-1.13,0.585648,2.14
0,-0.13,0.807947,0.76
0,-0.09,0.870382,0.45
-2.1,-2.59,0.45465,4.01
0,-0.39,0.526888,1.82
-0.9,-1.26,0.559393,2.66
-1.8,-2.3,0.442672,3.85
-1.5,-1.71,0.716766,2
-2.6,-2.84,0.674254,2.86
-3.4,-3.77,0.546042,0.9
-4,-4.41,0.51616,1.72
-3.6,-4.2,0.375489,5.41
-3.1,-3.17,0.899723,1.01
-0.9,-1.72,0.265665,5.61
-3,-3.48,0.458866,4.06
-8.1,-8.26,0.768143,0.8
-1.2,-1.67,0.469624,2.29
-3.3,-3.32,0.966805,0.11
0,-0.96,0.209642,3.65
-2.8,-3.75,0.214914,3.81
-2.7,-3.52,0.263239,3.7
-1.4,-2.21,0.270653,4.03
-2.1,-2.89,0.276218,4.42
-7.4,-7.54,0.797793,0.5
-1.9,-2.56,0.344691,4.47
0,-0.18,0.741786,1.18
0,-0.02,0.960263,0.14
-1.6,-1.73,0.815807,0.97
0,-0.13,0.807957,0.85
-1.4,-2,0.375001,4.6
-4.4,-4.89,0.450189,1.43
-2.9,-3.01,0.832472,0.37
0,-0.15,0.78652,1.07
0,-0.04,0.932778,0.16
0,0,0.996771,0.01
0,-0.01,0.990765,0.03
0,-0.13,0.809566,0.78
0,0,0.996177,0.01
0,-0.33,0.583068,1.21
0,-0.24,0.680974,1.36
-3.3,-3.34,0.933667,0.52
-0.8,-1.27,0.46603,2.72
-0.9,-1.55,0.347427,3.18
0,-0.21,0.716859,1.37
-4,-4.19,0.735905,2.74
-3.6,-3.7,0.846825,1.57
-3.2,-3.7,0.443339,0.87
0,-0.05,0.929032,0.22
-4.6,-5.01,0.515927,5.26
0,-0.19,0.730642,0.85
-2.9,-3.15,0.661901,3.15
-3.7,-3.79,0.867299,1.02
-2.4,-2.67,0.6449,3.19
0,-0.9,0.233623,2.94
-2.4,-2.75,0.565743,2.64
0,-0.31,0.609321,1.57
-2.2,-2.82,0.366454,1.99
-2.2,-2.82,0.36582,3.32
-0.6,-0.96,0.560852,1.96
-1.4,-1.95,0.406398,4.18
-4.4,-4.82,0.507445,5.92
-1.6,-1.85,0.667824,2.09
-3.2,-3.57,0.552459,5.11
0,-0.07,0.897005,0.51
0,-0.02,0.96881,0.1
-0.3,-0.73,0.494788,2.31
0,-0.09,0.869844,0.64
0,-0.02,0.975268,0.05
0,-0.96,0.212263,3.44
0,-0.97,0.207471,3.27
0,-0.25,0.671006,1.46
0,-0.42,0.504126,2.1
-0.2,-0.81,0.369768,3.37
-5,-5.64,0.353456,6.51
-4,-4.52,0.42972,2.66
-4.3,-4.41,0.843241,1.52
-7.5,-7.75,0.662425,0.75
-1,-1.46,0.472481,2.83
-3.8,-4.01,0.716897,0.79
-4.3,-4.44,0.80124,0.35
-4.4,-4.55,0.783362,0.44
-2.5,-2.65,0.782686,0.7
-4.3,-4.34,0.929817,0.45
-1,-1.19,0.735321,1.67
0,-0.59,0.385278,2.53
-4.1,-4.37,0.644836,4.13
-0.1,-0.58,0.458179,2.01
0,-0.51,0.436866,2.16
-4.4,-4.85,0.485216,0.8
0,-0.26,0.656761,1.36
-1.9,-2.44,0.413868,5.45
-2.6,-3.3,0.320757,6.21
-2.6,-2.81,0.715233,2.16
-1.3,-1.64,0.571808,2.94
-0.7,-1.15,0.479243,2.74
0,-0.19,0.73947,1
0,-0.21,0.706868,1.14
-0.4,-0.93,0.425738,3.82
-1.9,-2.38,0.46253,4.16
-2.3,-2.8,0.44403,2.04
0,-0.39,0.533023,2.12
-0.9,-1.5,0.375644,4.29
-1.4,-1.9,0.443161,2.46
-1.4,-2.47,0.176687,4.61
-7.7,-7.98,0.638999,0.53
-1.4,-1.62,0.697286,1.26
-3.3,-3.55,0.671342,2.08
-7,-7.03,0.948838,0.12
-3.8,-4.32,0.431433,5.13
-1.7,-2.17,0.469775,3.19
-2,-2.69,0.327513,5.64
-0.3,-1.5,0.141913,4.69
-3.5,-3.89,0.527443,5.12
-0.3,-1,0.319211,2.62
